5,16
18,1
3,2
7,14
13,9
10,15
4,12
11,6
17,8
14,13
9,4
16,10
2,7
15,3
8,11
6,17
12,18
1,5
10,2
18,6
13,8
7,9
4,14
3,1
16,15
5,12
11,17
8,4
9,11
14,3
17,7
6,13
1,10
15,5
12,16
2,18
4,11
3,6
13,17
7,8
10,9
15,12
5,2
18,14
16,1
6,7
1,15
12,10
9,3
11,13
8,18
17,4
14,5
2,16
1,12
4,13
5,9
18,17
15,2
3,8
7,11
16,14
10,6
6,5
4,18
13,7
17,10
11,3
8,12
2,1
14,15
9,16
10,8
18,11
5,17
7,4
3,13
12,2
1,14
16,6
15,9
7,3
13,18
6,2
9,1
11,5
14,12
17,15
8,16
4,10
18,7
10,13
3,4
16,11
1,17
12,9
5,8
15,6
2,14
17,14
6,12
7,10
8,1
4,5
13,16
18,3
9,2
11,15
1,6
3,17
2,13
14,9
16,4
5,7
15,8
12,11
10,18
4,2
11,1
17,12
7,16
3,10
18,15
13,5
8,9
6,14
5,18
15,7
16,3
9,6
1,4
12,13
14,8
10,11
2,17
17,16
8,6
3,5
7,12
10,14
18,9
11,2
13,1
4,15
6,4
15,13
12,3
14,11
16,18
5,10
2,8
1,7
9,17
16,5
1,18
2,3
14,7
9,13
15,10
12,4
6,11
8,17
13,14
4,9
10,16
7,2
3,15
11,8
17,6
18,12
5,1
2,10
6,18
8,13
9,7
14,4
1,3
15,16
12,5
17,11
4,8
11,9
3,14
7,17
13,6
10,1
5,15
16,12
18,2
11,4
6,3
17,13
8,7
9,10
12,15
2,5
14,18
1,16
7,6
15,1
10,12
3,9
13,11
18,8
4,17
5,14
16,2
12,1
13,4
9,5
17,18
2,15
8,3
11,7
14,16
6,10
5,6
18,4
7,13
10,17
3,11
12,8
1,2
15,14
16,9
8,10
11,18
17,5
4,7
13,3
2,12
14,1
6,16
9,15
3,7
18,13
2,6
1,9
5,11
12,14
15,17
16,8
10,4
7,18
13,10
4,3
11,16
17,1
9,12
8,5
6,15
14,2
14,17
12,6
10,7
1,8
5,4
16,13
3,18
2,9
15,11
6,1
17,3
13,2
9,14
4,16
7,5
8,15
11,12
18,10
2,4
1,11
12,17
16,7
10,3
15,18
5,13
9,8
14,6
18,5
7,15
3,16
6,9
4,1
13,12
8,14
11,10
17,2
16,17
6,8
5,3
12,7
14,10
9,18
2,11
1,13
15,4
4,6
13,15
3,12
11,14
18,16
10,5
8,2
7,1
17,9
